contig_id,cluster_id
485.concoct_part_18,4
486.concoct_part_0,1
487.concoct_part_0,1
488.concoct_part_0,9
489.concoct_part_0,1
490.concoct_part_0,1
491.concoct_part_0,1
492.concoct_part_0,9
493.concoct_part_0,9
494.concoct_part_0,1
495.concoct_part_0,7
496.concoct_part_0,1
497.concoct_part_0,1
498.concoct_part_0,7
499.concoct_part_0,1
500.concoct_part_0,1
501.concoct_part_0,4
502.concoct_part_0,9
503.concoct_part_0,7
504.concoct_part_0,1
505.concoct_part_0,4
506.concoct_part_0,1
507.concoct_part_0,1
508.concoct_part_0,1
509.concoct_part_0,1
510.concoct_part_0,1
511.concoct_part_0,1
512.concoct_part_0,7
513.concoct_part_0,1
514.concoct_part_0,1
515.concoct_part_0,1
516.concoct_part_0,2
517.concoct_part_0,9
518.concoct_part_0,1
519.concoct_part_0,1
520.concoct_part_0,4
521.concoct_part_0,1
522.concoct_part_0,1
523.concoct_part_0,1
524.concoct_part_0,1
525.concoct_part_0,7
526.concoct_part_0,1
527.concoct_part_0,1
528.concoct_part_0,7
529.concoct_part_0,9
530.concoct_part_0,1
531.concoct_part_0,6
532.concoct_part_0,1
533.concoct_part_0,1
534.concoct_part_0,4
535.concoct_part_0,1
536.concoct_part_0,4
537.concoct_part_0,4
538.concoct_part_0,1
539.concoct_part_0,9
540.concoct_part_0,1
541.concoct_part_0,4
542.concoct_part_0,1
543.concoct_part_0,4
544.concoct_part_0,1
545.concoct_part_0,1
546.concoct_part_0,1
547.concoct_part_0,1
548.concoct_part_0,1
549.concoct_part_0,1
550.concoct_part_0,1
551.concoct_part_0,1
552.concoct_part_0,3
553.concoct_part_0,1
554.concoct_part_0,9
555.concoct_part_0,1
556.concoct_part_0,1
557.concoct_part_0,1
558.concoct_part_0,9
559.concoct_part_0,1
560.concoct_part_0,9
561.concoct_part_0,1
562.concoct_part_0,1
563.concoct_part_0,9
564.concoct_part_0,1
565.concoct_part_0,1
566.concoct_part_0,1
567.concoct_part_0,1
568.concoct_part_0,4
569.concoct_part_0,1
570.concoct_part_0,1
571.concoct_part_0,4
572.concoct_part_0,9
573.concoct_part_0,1
574.concoct_part_0,9
575.concoct_part_0,1
576.concoct_part_0,1
577.concoct_part_0,7
578.concoct_part_0,1
579.concoct_part_0,1
580.concoct_part_0,6
581.concoct_part_0,4
582.concoct_part_0,10
583.concoct_part_0,1
584.concoct_part_0,1
585.concoct_part_0,4
586.concoct_part_0,1
587.concoct_part_0,1
588.concoct_part_0,9
588.concoct_part_1,9
589.concoct_part_0,1
590.concoct_part_0,1
591.concoct_part_0,4
592.concoct_part_0,1
593.concoct_part_0,1
594.concoct_part_0,9
594.concoct_part_1,9
595.concoct_part_0,1
596.concoct_part_0,9
597.concoct_part_0,1
598.concoct_part_0,9
599.concoct_part_0,4
600.concoct_part_0,9
601.concoct_part_0,1
602.concoct_part_0,9
602.concoct_part_1,9
603.concoct_part_0,4
604.concoct_part_0,1
605.concoct_part_0,8
606.concoct_part_0,7
607.concoct_part_0,1
608.concoct_part_0,1
609.concoct_part_0,1
610.concoct_part_0,1
611.concoct_part_0,9
612.concoct_part_0,9
613.concoct_part_0,1
614.concoct_part_0,1
615.concoct_part_0,9
616.concoct_part_0,9
617.concoct_part_0,1
618.concoct_part_0,9
619.concoct_part_0,1
620.concoct_part_0,1
621.concoct_part_0,1
622.concoct_part_0,9
623.concoct_part_0,1
624.concoct_part_0,1
625.concoct_part_0,1
626.concoct_part_0,4
627.concoct_part_0,1
628.concoct_part_0,4
629.concoct_part_0,1
630.concoct_part_0,1
631.concoct_part_0,9
632.concoct_part_0,1
633.concoct_part_0,9
634.concoct_part_0,1
635.concoct_part_0,7
636.concoct_part_0,7
637.concoct_part_0,9
638.concoct_part_0,1
639.concoct_part_0,1
640.concoct_part_0,1
641.concoct_part_0,9
642.concoct_part_0,1
643.concoct_part_0,1
644.concoct_part_0,1
645.concoct_part_0,1
646.concoct_part_0,1
647.concoct_part_0,1
648.concoct_part_0,1
649.concoct_part_0,1
650.concoct_part_0,1
651.concoct_part_0,9
652.concoct_part_0,1
653.concoct_part_0,1
654.concoct_part_0,1
655.concoct_part_0,9
656.concoct_part_0,4
657.concoct_part_0,1
658.concoct_part_0,1
659.concoct_part_0,9
660.concoct_part_0,1
661.concoct_part_0,1
662.concoct_part_0,1
663.concoct_part_0,1
664.concoct_part_0,13
665.concoct_part_0,1
666.concoct_part_0,1
667.concoct_part_0,7
668.concoct_part_0,1
669.concoct_part_0,9
